Comment,Designator,Footprint,LCSC
ATmega32U4-AU,U1,atmega32u4-mu-and-au,C112161
D_Small,"D1,D2,D3,D4,D5,D6,D7,D8,D9",D_SOD-123,C2099
MX-NoLED,MX4,MX-1U-NoLED,
MX-NoLED,MX9,MX-1U-NoLED,
MX-NoLED,MX7,MX-1U-NoLED,
MX-NoLED,MX5,MX-1U-NoLED,
MX-NoLED,MX6,MX-1U-NoLED,
MX-NoLED,MX8,MX-1U-NoLED,
MX-NoLED,MX1,MX-1U-NoLED,
MX-NoLED,MX3,MX-1U-NoLED,
MX-NoLED,MX2,MX-1U-NoLED,
Conn_01x04_MountingPin,J2,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,
1uF,C3,C_0805_2012Metric,
22pF,C2,C_0805_2012Metric,
10uF,C7,C_0805_2012Metric,
22pF,C1,C_0805_2012Metric,
0.1uF,C6,C_0805_2012Metric,
22,R3,R_0805_2012Metric,
22,R2,R_0805_2012Metric,
AVR-ISP-6,J1,PinSocket_2x03_P2.54mm_Vertical,
10k,R4,R_0805_2012Metric,
0.1uF,C5,C_0805_2012Metric,
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,
0.1uF,C4,C_0805_2012Metric,
